src_ip,dst_ip,protocol,packet_size,time_diff
2409:408c:ad16:f102:826:7dcb:ffb6:d241,64:ff9b::12a1:d87f,6,75,0
64:ff9b::12a1:d87f,2409:408c:ad16:f102:826:7dcb:ffb6:d241,6,86,0.04781317710876465
2409:408c:ad16:f102:826:7dcb:ffb6:d241,64:ff9b::12a1:d87f,6,75,0.4655890464782715
64:ff9b::12a1:d87f,2409:408c:ad16:f102:826:7dcb:ffb6:d241,6,86,0.07559871673583984
2409:408c:ad16:f102:826:7dcb:ffb6:d241,64:ff9b::3e2:2890,6,75,0.7527265548706055
64:ff9b::3e2:2890,2409:408c:ad16:f102:826:7dcb:ffb6:d241,6,86,0.26990795135498047
2409:408c:ad16:f102:826:7dcb:ffb6:d241,64:ff9b::12a1:d87f,6,75,1.0544397830963135
2606:4700:9c61:d8b7:9ac6:3fd:ccf5:ac50,2409:408c:ad16:f102:826:7dcb:ffb6:d241,6,98,0.05602240562438965
2409:408c:ad16:f102:826:7dcb:ffb6:d241,2606:4700:9c61:d8b7:9ac6:3fd:ccf5:ac50,6,102,0.0016162395477294922
64:ff9b::12a1:d87f,2409:408c:ad16:f102:826:7dcb:ffb6:d241,6,86,0.00810694694519043
2606:4700:9c61:d8b7:9ac6:3fd:ccf5:ac50,2409:408c:ad16:f102:826:7dcb:ffb6:d241,6,74,0.04799962043762207
64:ff9b::dd9:4092,2409:408c:ad16:f102:826:7dcb:ffb6:d241,6,105,3.033487319946289
2606:4700:9c61:d8b7:9ac6:3fd:ccf5:ac50,2409:408c:ad16:f102:826:7dcb:ffb6:d241,6,98,0.0010333061218261719
64:ff9b::dd9:4092,2409:408c:ad16:f102:826:7dcb:ffb6:d241,6,74,0.00098419189453125
2409:408c:ad16:f102:826:7dcb:ffb6:d241,64:ff9b::dd9:4092,6,74,0.0
2409:408c:ad16:f102:826:7dcb:ffb6:d241,2606:4700:9c61:d8b7:9ac6:3fd:ccf5:ac50,6,102,0.0010547637939453125
2409:408c:ad16:f102:826:7dcb:ffb6:d241,64:ff9b::dd9:4092,6,105,0.0010266304016113281
2409:408c:ad16:f102:826:7dcb:ffb6:d241,64:ff9b::dd9:4092,6,74,0.0
2606:4700:9c61:d8b7:9ac6:3fd:ccf5:ac50,2409:408c:ad16:f102:826:7dcb:ffb6:d241,6,74,0.03962373733520508
64:ff9b::dd9:4092,2409:408c:ad16:f102:826:7dcb:ffb6:d241,6,74,0.20471644401550293
64:ff9b::dd9:4092,2409:408c:ad16:f102:826:7dcb:ffb6:d241,6,74,0.008475542068481445
64:ff9b::2ccd:b89b,2409:408c:ad16:f102:826:7dcb:ffb6:d241,6,105,0.7009990215301514
64:ff9b::2ccd:b89b,2409:408c:ad16:f102:826:7dcb:ffb6:d241,6,74,0.0010085105895996094
2409:408c:ad16:f102:826:7dcb:ffb6:d241,64:ff9b::2ccd:b89b,6,74,0.0
64:ff9b::2ccd:b89b,2409:408c:ad16:f102:826:7dcb:ffb6:d241,6,74,0.24353718757629395
2409:408c:ad16:f102:826:7dcb:ffb6:d241,64:ff9b::2ccd:b89b,6,74,0.0009832382202148438
2409:408c:ad16:f102:826:7dcb:ffb6:d241,64:ff9b::34cd:356c,6,75,3.6371400356292725
64:ff9b::34cd:356c,2409:408c:ad16:f102:826:7dcb:ffb6:d241,6,74,0.29321718215942383
